HouseId,SqFt,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
HOUSE-0088,2164,,1.5,Urban,1989,405944.54885965085
HOUSE-0089,1735,3.0,2.5,,1970,346600.15889675677
HOUSE-0090,2256,5.0,1.0,Suburban,1964,438448.705397088
HOUSE-0091,2048,1.0,1.5,Suburban,1975,330700.04998496297
HOUSE-0092,2484,3.0,2.5,Suburban,1957,408335.40145835275
HOUSE-0093,1648,5.0,2.5,Urban,1991,405380.85038178985
HOUSE-0094,1836,,2.0,Rural,1993,349983.1137491013
HOUSE-0095,1803,3.0,2.0,Suburban,1963,339853.71318606794
HOUSE-0096,1268,3.0,2.0,Urban,1951,264882.87311693584
HOUSE-0097,2148,3.0,1.5,Suburban,1986,398009.6575030057
HOUSE-0098,2130,3.0,1.5,Rural,2018,394042.97203576495
HOUSE-0099,2002,,1.0,Rural,1987,329510.321708231
HOUSE-0100,1882,4.0,3.0,Suburban,1990,411993.66563407116
HOUSE-0101,1292,1.0,2.0,Suburban,2011,277515.278931907
HOUSE-0102,1789,2.0,2.0,Urban,2009,368918.5569203694
HOUSE-0103,1828,5.0,2.0,,1963,355356.963846095
HOUSE-0104,1598,4.0,3.0,Urban,1951,373729.3084265864
HOUSE-0105,1919,3.0,1.0,Rural,2019,361868.1649987975
HOUSE-0106,2202,3.0,2.0,Suburban,1966,395798.2944156297
HOUSE-0107,2943,2.0,2.0,Suburban,1977,487927.8900551714
HOUSE-0108,2087,2.0,2.0,Suburban,2015,406617.9059052039
HOUSE-0109,2128,3.0,1.0,Urban,1984,407858.49009227345
HOUSE-0110,1962,,2.5,Urban,1954,342941.58977959753
HOUSE-0111,1040,3.0,3.0,Urban,2014,338953.4242770362
HOUSE-0112,1986,1.0,2.0,Urban,1989,360766.20771423075
HOUSE-0113,2030,,2.0,Suburban,2005,402287.3752038571
HOUSE-0114,3231,5.0,3.0,Suburban,1985,585509.9978454008
HOUSE-0115,1903,3.0,2.5,Urban,1994,412667.4911546342
HOUSE-0116,2150,3.0,1.0,,1972,382432.6254320253
HOUSE-0117,1982,2.0,2.0,Rural,1996,344153.61714588833
HOUSE-0118,1415,4.0,2.0,Rural,1980,300929.28383979836
HOUSE-0119,2571,3.0,2.0,,1960,424992.69108943356
HOUSE-0120,2375,2.0,2.5,Urban,1959,359425.8422464298
HOUSE-0121,2395,4.0,3.0,Suburban,2016,480886.13470824715
HOUSE-0122,1545,4.0,3.0,Suburban,1963,326676.1572397403
HOUSE-0123,2701,4.0,2.0,Suburban,2023,530681.0930840863
HOUSE-0124,1299,3.0,1.0,Urban,1959,287365.5579742944
HOUSE-0125,2293,3.0,3.0,Rural,1950,363287.94519179396
HOUSE-0126,3095,3.0,2.5,Urban,1954,506734.2422659613
HOUSE-0127,1504,4.0,1.0,Urban,1969,324770.27955046366
HOUSE-0128,1716,4.0,3.0,Suburban,1957,350342.6076852162
HOUSE-0129,2049,1.0,2.5,Suburban,1992,335311.63834712806
HOUSE-0130,1748,1.0,2.0,Suburban,1950,254840.80760083348
HOUSE-0131,1224,2.0,2.0,Urban,2006,302115.7015857262
HOUSE-0132,2034,,1.5,Rural,2013,383109.7120903903
HOUSE-0133,1468,5.0,1.0,Urban,1977,344694.6545385821
HOUSE-0134,2236,2.0,1.5,Urban,1986,404171.67126386066
HOUSE-0135,1540,,2.5,Rural,1996,320113.9137576509
HOUSE-0136,2774,2.0,1.0,,1986,416779.32691624213
HOUSE-0137,1608,5.0,1.5,Rural,1998,343560.36856920144
HOUSE-0138,1838,4.0,1.5,Rural,1993,337462.19278089725
HOUSE-0139,2406,4.0,2.0,Suburban,2005,486811.7923774694
HOUSE-0140,1384,3.0,3.0,Suburban,1977,336116.8926029317
HOUSE-0141,2113,3.0,1.5,Urban,1955,365174.85740187723
HOUSE-0142,2653,2.0,1.5,Suburban,2010,454648.2657462649
HOUSE-0143,1196,1.0,2.5,Suburban,1969,252233.98951218737
HOUSE-0144,2092,4.0,2.0,Urban,1951,414564.9425056449
HOUSE-0145,2129,4.0,1.5,Suburban,2022,436803.44552476547
HOUSE-0146,2390,5.0,2.0,Suburban,1986,485198.36192646524
HOUSE-0147,1381,5.0,1.0,Urban,1969,322352.2796651585
HOUSE-0148,1339,3.0,1.0,Urban,1975,291133.6058340796
HOUSE-0149,2260,3.0,2.0,Suburban,1978,390435.36370360636
HOUSE-0150,2148,4.0,2.0,Urban,1950,419497.4024205093
HOUSE-0151,2125,4.0,3.0,Rural,1984,388460.44688550825
HOUSE-0152,2173,2.0,1.5,Suburban,2019,395891.2623684437
HOUSE-0153,1659,3.0,2.0,Suburban,2008,364745.05552398623
HOUSE-0154,2116,2.0,2.0,Suburban,2018,408793.7487066672
HOUSE-0155,2146,5.0,1.0,Rural,1982,374513.10480617126
HOUSE-0156,1642,3.0,2.0,Suburban,2000,362889.8292565919
HOUSE-0157,2932,2.0,1.0,Suburban,1961,442475.34503000876
HOUSE-0158,2236,3.0,3.0,Suburban,1969,392294.45740629395
HOUSE-0159,1404,3.0,1.0,Urban,2002,305164.2615636508
HOUSE-0160,2328,2.0,2.0,Rural,1992,372722.70434606896
HOUSE-0161,1512,2.0,1.0,Suburban,1999,308391.40983975213
HOUSE-0162,2393,3.0,3.0,Suburban,1978,447695.7379360147
HOUSE-0163,2579,3.0,2.0,Rural,2006,439622.50315837265
HOUSE-0164,1589,3.0,2.0,Rural,1988,301810.1225749024
HOUSE-0165,2481,3.0,1.0,Suburban,2005,444396.0650361851
HOUSE-0166,2206,4.0,2.5,Rural,1992,392990.04228416114
HOUSE-0167,2411,3.0,1.5,Suburban,1999,456324.81794538087
HOUSE-0168,2948,3.0,2.5,Suburban,1972,513969.0762718378
HOUSE-0169,1877,4.0,1.5,Suburban,1993,388572.1847193105
HOUSE-0170,1623,3.0,1.0,Suburban,1987,322319.5062998928
HOUSE-0171,1555,2.0,1.0,Urban,1972,293028.68541010947
HOUSE-0172,1592,1.0,2.0,Rural,1994,274171.2326869949
HOUSE-0173,1961,3.0,2.0,Rural,2001,345750.23943474836
HOUSE-0174,2170,3.0,1.0,Urban,1999,381245.819535067
HOUSE-0175,2138,3.0,2.5,Rural,1957,308948.3904926337
HOUSE-0176,2413,2.0,2.0,Urban,1950,387567.5250025477
HOUSE-0177,2006,2.0,2.0,Suburban,1957,338665.67184377415
HOUSE-0178,2726,1.0,2.0,Suburban,1978,424499.5760093022
HOUSE-0179,1867,2.0,2.0,Urban,1954,329938.64487236075
HOUSE-0180,3360,3.0,2.0,Rural,1996,522127.52750714356
HOUSE-0181,2312,2.0,1.0,Rural,1983,344726.57464418205
HOUSE-0182,1571,3.0,1.0,Suburban,2014,319730.30863524793
HOUSE-0183,1464,4.0,2.5,Urban,2004,375573.83236546314
HOUSE-0184,2241,2.0,3.0,Urban,1992,439714.35668548476
HOUSE-0185,1888,3.0,1.5,Suburban,2023,373149.0737838052
HOUSE-0186,2357,3.0,1.5,,1979,389235.93080470455
HOUSE-0187,2236,2.0,2.0,Suburban,1966,355081.2410907176
HOUSE-0188,1963,3.0,2.0,Urban,1975,356512.21898237825
HOUSE-0189,1576,4.0,1.0,Suburban,1957,302516.9643877947
HOUSE-0190,1242,4.0,1.0,Suburban,1996,311551.29169428797
HOUSE-0191,1776,2.0,2.5,Suburban,2021,370028.7412575064
HOUSE-0192,2428,4.0,2.0,Urban,1995,474821.2367391554
HOUSE-0193,2107,3.0,1.0,Suburban,2017,403375.97197360254
HOUSE-0194,1377,2.0,1.5,Suburban,1982,266005.27768856264
HOUSE-0195,2086,3.0,1.5,,1950,318601.7004410479
HOUSE-0196,2192,5.0,2.0,Suburban,1968,439195.7817272185
HOUSE-0197,1558,3.0,1.0,Suburban,1980,322026.86860676977
HOUSE-0198,2076,,1.0,Rural,1963,313597.6483589832
HOUSE-0199,2029,3.0,2.5,Urban,2002,420317.4656909017
HOUSE-0200,1428,2.0,1.0,Rural,1997,250405.0124340976
HOUSE-0201,2178,1.0,2.0,Suburban,2018,391029.3321413681
HOUSE-0202,2280,2.0,1.5,Urban,2011,450248.4018493944
HOUSE-0203,2541,2.0,1.0,Suburban,2015,449316.8686793396
HOUSE-0204,2526,2.0,1.5,Suburban,2013,430366.2866187916
HOUSE-0205,1311,2.0,2.5,Urban,2019,338156.9579225035
HOUSE-0206,1531,3.0,2.5,Suburban,2012,369635.3530285907
HOUSE-0207,2257,2.0,2.5,Suburban,2022,432065.1774659217
HOUSE-0208,2256,2.0,1.5,Suburban,1982,378749.5089333974
HOUSE-0209,2257,4.0,2.0,Urban,1990,459530.0014200078
HOUSE-0210,3926,3.0,1.5,Rural,1997,570670.9271615479
HOUSE-0211,2285,3.0,1.5,,1962,372940.78313843877
HOUSE-0212,2567,2.0,2.5,,2022,442179.48647198355
HOUSE-0213,2477,2.0,1.0,Suburban,1980,400845.96774855367
HOUSE-0214,2325,1.0,1.0,Urban,2017,405628.95640966645
HOUSE-0215,1842,2.0,1.5,Suburban,1953,293593.22907977883
HOUSE-0216,2379,2.0,1.0,Urban,1968,392417.30882569245
HOUSE-0217,1613,2.0,1.0,Urban,2019,350809.97391144757
HOUSE-0218,1881,1.0,2.0,Suburban,1962,334040.68458996987
HOUSE-0219,1757,2.0,2.0,Suburban,1972,333621.01797055785
HOUSE-0220,2040,3.0,2.5,Suburban,1950,328037.7821377649
HOUSE-0221,3157,2.0,2.5,Suburban,2003,522329.6270023052
HOUSE-0222,1066,2.0,1.5,Suburban,2020,287859.8639406928
HOUSE-0223,2343,3.0,1.5,Urban,1964,394791.8976318465
HOUSE-0224,1193,3.0,1.5,,2014,300133.38905318634
HOUSE-0225,1764,1.0,2.0,Suburban,2020,334130.36721703433
HOUSE-0226,2544,3.0,1.5,Suburban,1964,436234.3579637424
HOUSE-0227,2032,3.0,2.0,Urban,1970,395903.85792520177
HOUSE-0228,1461,1.0,2.0,Suburban,1968,246459.7681816119
HOUSE-0229,1642,4.0,2.0,Suburban,2009,371227.2278256407
HOUSE-0230,2339,4.0,2.0,Urban,1982,454154.56485928566
HOUSE-0231,1634,1.0,1.5,Urban,1998,315132.3267778493
HOUSE-0232,2108,2.0,3.0,Suburban,1984,401948.9441716289
HOUSE-0233,2022,4.0,2.5,Suburban,1993,401900.70117914653
HOUSE-0234,1674,3.0,1.0,Urban,1960,338925.76964491775
HOUSE-0235,3071,2.0,2.5,,2021,513286.2548611772
HOUSE-0236,2316,2.0,2.0,Urban,2023,449672.6665949375
HOUSE-0237,987,2.0,2.5,Suburban,2015,269025.66379421554
HOUSE-0238,2093,3.0,2.5,Rural,1995,374332.9199287725
HOUSE-0239,1669,3.0,2.0,Suburban,1958,316475.95748332015
HOUSE-0240,2426,2.0,1.0,Suburban,1952,389580.37837406533
HOUSE-0241,1603,3.0,1.5,Suburban,1975,327496.7488735922
HOUSE-0242,1942,3.0,2.0,Urban,2021,414399.26465630106
HOUSE-0243,2252,1.0,2.0,,1997,396581.80881183135
HOUSE-0244,2432,2.0,1.5,Suburban,2015,430460.2161098928
HOUSE-0245,1399,3.0,1.0,Rural,2019,293444.3638898584
HOUSE-0246,1832,4.0,2.5,Urban,1977,386380.21381002915
HOUSE-0247,1762,3.0,3.0,Urban,1975,368977.5201239229
HOUSE-0248,1673,3.0,2.0,Urban,1974,339632.44738109235
HOUSE-0249,2882,2.0,1.0,Suburban,1961,430931.0929749051
HOUSE-0250,2202,3.0,1.5,Suburban,1954,379521.74619172316
HOUSE-0251,1369,3.0,1.0,Rural,1997,272388.4844913332
HOUSE-0252,2458,2.0,3.0,Suburban,1986,452580.6623410437
HOUSE-0253,3061,2.0,1.0,,1993,458403.6299218315
HOUSE-0254,2516,2.0,2.0,Urban,1964,424843.03565308324
HOUSE-0255,1240,1.0,1.5,Rural,1992,195655.91006052558
HOUSE-0256,1757,2.0,2.0,Suburban,1997,324611.9354259511
HOUSE-0257,2633,2.0,2.0,Suburban,2019,480128.67566007696
HOUSE-0258,1646,2.0,2.5,Rural,1995,294072.527002928
HOUSE-0259,2221,2.0,1.5,Suburban,1992,370569.5430590959
HOUSE-0260,2387,4.0,1.0,Suburban,1970,385490.3468662558
HOUSE-0261,1536,3.0,1.0,Urban,1972,304719.68028316624
HOUSE-0262,1970,3.0,3.0,Urban,1996,415120.7958870753
HOUSE-0263,800,3.0,2.5,Rural,1964,174338.95560320682
HOUSE-0264,1487,3.0,2.0,Suburban,1974,303698.24916526297
HOUSE-0265,1873,1.0,2.0,Suburban,1985,341819.46590987337
HOUSE-0266,1376,3.0,2.0,Suburban,2000,304510.419895075
HOUSE-0267,2816,3.0,1.0,Urban,1964,449969.25425945094
HOUSE-0268,1284,3.0,3.0,Urban,2017,335821.4779970236
HOUSE-0269,1779,3.0,2.0,Suburban,1970,322353.538612263
HOUSE-0270,2065,2.0,1.5,Suburban,1962,347933.66170332645
HOUSE-0271,2720,2.0,2.0,Urban,1968,451530.03105324577
HOUSE-0272,1282,2.0,1.0,Suburban,1983,269592.85318913363
HOUSE-0273,2581,3.0,1.0,Urban,2017,508617.5683748138
HOUSE-0274,2005,3.0,2.5,Suburban,2001,371444.13302136277
HOUSE-0275,1509,2.0,1.0,Urban,1976,302581.1806266266
HOUSE-0276,2231,5.0,2.0,Suburban,1978,423340.7099834966
HOUSE-0277,2099,3.0,1.5,Suburban,1977,387813.4894705018
HOUSE-0278,1699,2.0,1.5,Suburban,1984,309501.31998389843
HOUSE-0279,2034,2.0,1.5,Urban,1957,352589.8414129626
HOUSE-0280,1807,2.0,1.5,Urban,1965,312092.3385810529
HOUSE-0281,2056,2.0,2.5,Suburban,1985,365823.5946233025
HOUSE-0282,2331,2.0,1.5,Suburban,1979,386764.9337666239
HOUSE-0283,2793,2.0,2.0,Suburban,1967,459101.1722021006
HOUSE-0284,1381,2.0,2.0,Urban,1951,264601.5920888717
HOUSE-0285,3066,2.0,2.0,Suburban,1998,488059.6264270453
HOUSE-0286,1023,4.0,3.0,Rural,1953,254324.34463273422
HOUSE-0287,1924,1.0,2.5,Suburban,1956,300289.89574451034
HOUSE-0288,2294,3.0,1.5,Urban,2023,473315.77715961187
HOUSE-0289,2140,3.0,1.0,Suburban,1988,382063.70137910615
HOUSE-0290,1688,5.0,1.5,Urban,1962,379206.84442387766
HOUSE-0291,1895,,2.0,Urban,1980,386912.83453764056
HOUSE-0292,1753,2.0,1.0,,2020,327116.6916989009
HOUSE-0293,1705,5.0,2.0,Urban,2012,430048.30229208595
HOUSE-0294,2424,4.0,2.0,Suburban,2005,453294.4532352855
HOUSE-0295,2178,4.0,1.5,Suburban,1991,409128.4549385168
HOUSE-0296,1653,2.0,2.5,Suburban,2010,352240.36449049914
HOUSE-0297,2449,2.0,1.0,Suburban,1991,406080.90933462855
HOUSE-0298,2153,3.0,1.0,Urban,2005,416235.5257374143
HOUSE-0299,2406,4.0,2.5,Suburban,1985,435339.02526105486
HOUSE-0300,2314,3.0,2.0,Suburban,2017,426142.62565975555
