CustomerId,Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
CUST-0108,42,Male,47,66.84907410183921,3173.6763293971876,Month-to-month,DSL,1
CUST-0109,43,Male,52,52.0616587272944,2771.6940802380773,One year,Fiber optic,1
CUST-0110,39,Male,56,50.02689008601661,2788.435848569174,Month-to-month,No,1
CUST-0111,18,Female,15,78.8844204201727,1189.2913042420555,Month-to-month,DSL,0
CUST-0112,39,Male,29,49.428237589417904,1381.985173436665,Month-to-month,No,0
CUST-0113,40,,8,52.60077384183823,356.90506156288706,Two year,DSL,0
CUST-0114,69,,5,60.79712760936766,221.7986022674354,Two year,Fiber optic,0
CUST-0115,37,Female,29,55.66501829058576,1570.027355476995,Month-to-month,No,0
CUST-0116,43,Female,47,35.66074482469687,1753.683097535235,Month-to-month,Fiber optic,1
CUST-0117,39,Male,68,84.89766262118685,5695.404704849904,One year,DSL,0
CUST-0118,25,Female,45,91.21327346269001,4089.42050654219,Month-to-month,Fiber optic,1
CUST-0119,53,Female,2,73.59046473838043,82.52366329445297,Month-to-month,Fiber optic,1
CUST-0120,49,Male,27,55.58618372444336,1470.7782624098027,One year,No,0
CUST-0121,49,Female,36,47.36973159175547,,One year,Fiber optic,0
CUST-0122,29,Female,36,47.40949842683884,1671.7361497059476,Two year,DSL,0
CUST-0123,56,Female,26,120.0,3174.483243250823,Month-to-month,Fiber optic,0
CUST-0124,23,Female,43,88.4459575391661,3879.875080226621,Month-to-month,Fiber optic,1
CUST-0125,47,Female,27,43.99724803541655,,One year,Fiber optic,0
CUST-0126,66,Male,69,69.11744568592852,4734.954135811512,One year,Fiber optic,0
CUST-0127,28,Female,20,55.93662437251594,1121.68959356394,One year,No,1
CUST-0128,33,Female,11,79.59500940390727,,One year,Fiber optic,1
CUST-0129,41,Male,38,78.58747756973355,2963.611933892212,Month-to-month,Fiber optic,1
CUST-0130,33,Male,6,92.09024134763678,551.5446783235301,Two year,DSL,0
CUST-0131,21,Male,23,43.73608853344511,948.0928250166402,Month-to-month,DSL,1
CUST-0132,40,Female,47,67.61838246595326,3101.424183286686,Month-to-month,DSL,1
CUST-0133,27,,46,21.28632537606184,1051.4402017779912,One year,DSL,0
CUST-0134,45,Male,12,33.566492489278886,311.5944161766998,Month-to-month,Fiber optic,1
CUST-0135,28,Female,13,87.10252091397949,1248.7637223028116,Month-to-month,Fiber optic,1
CUST-0136,58,Male,62,41.232905214866825,2592.69769329083,Two year,Fiber optic,0
CUST-0137,30,,60,43.97728004880362,2672.635456704055,Month-to-month,No,1
CUST-0138,36,Female,43,64.79304813624877,2814.8745032334186,One year,No,0
CUST-0139,49,Female,68,82.36902577116349,5588.459468039069,Month-to-month,No,0
CUST-0140,25,Male,5,38.47933010414759,212.00087700578143,One year,Fiber optic,0
CUST-0141,42,Male,37,15.0,545.5551656107763,Month-to-month,Fiber optic,0
CUST-0142,55,Male,31,43.24441894641221,1368.2306511608024,Month-to-month,Fiber optic,0
CUST-0143,20,Male,9,95.14070194882093,854.5819911939526,Two year,DSL,0
CUST-0144,42,Female,51,73.57837627542185,3704.9797808914277,One year,DSL,0
CUST-0145,43,Female,29,98.09687009468033,2801.2806019326417,Month-to-month,No,1
CUST-0146,49,,40,36.7045964466826,,Month-to-month,No,1
CUST-0147,25,,41,24.01509330839859,1033.1638622410578,Two year,DSL,0
CUST-0148,24,Female,11,76.56371381618851,811.3285213551187,One year,Fiber optic,0
CUST-0149,46,Female,23,71.00056844212615,1537.4079161146585,One year,No,1
CUST-0150,43,Female,1,72.63885800943146,92.48079130187172,One year,DSL,1
CUST-0151,43,Female,46,88.3249160662642,4138.672017177632,Month-to-month,DSL,0
CUST-0152,44,Male,21,75.5421230978065,1625.0387445128129,Month-to-month,No,1
CUST-0153,31,Male,36,75.14043982850947,2674.8896555652555,One year,Fiber optic,0
CUST-0154,42,Male,54,82.87517534502852,4395.918882851786,Month-to-month,DSL,1
CUST-0155,43,Female,57,77.56041580467569,4414.230295698638,Month-to-month,Fiber optic,1
CUST-0156,31,Female,1,86.43614829293514,78.47495438809963,Two year,No,0
CUST-0157,62,Male,63,90.21302061946454,5634.960318510578,One year,Fiber optic,1
CUST-0158,45,Female,54,103.29222003102288,5605.331746787362,One year,DSL,1
CUST-0159,25,Female,55,48.77021687740802,2774.6932532989645,One year,DSL,0
CUST-0160,47,Male,40,77.01405268526868,3091.6762432836613,One year,Fiber optic,0
CUST-0161,28,Male,15,55.74191578506758,844.1525471259561,Month-to-month,Fiber optic,0
CUST-0162,49,Female,21,44.16102531801833,,Month-to-month,Fiber optic,1
CUST-0163,53,Female,47,47.76149197299085,2314.6608578835885,Month-to-month,DSL,1
CUST-0164,30,Female,53,77.37388793903814,4097.05885242852,Month-to-month,No,0
CUST-0165,51,Female,9,75.45631386965,650.1586620671414,One year,DSL,0
CUST-0166,44,Female,52,75.01030073096092,3903.720057692549,Month-to-month,DSL,0
CUST-0167,49,Female,57,59.35715881076667,3406.956118876031,Month-to-month,DSL,0
CUST-0168,62,Female,26,65.08536877946027,1699.180358698212,Month-to-month,DSL,1
CUST-0169,37,Female,41,85.44381739690124,3563.50418305648,Month-to-month,Fiber optic,1
CUST-0170,30,Male,35,27.765173508767347,990.9796504342003,Month-to-month,Fiber optic,0
CUST-0171,29,Male,63,65.6160524607146,4119.614214480893,Month-to-month,DSL,0
CUST-0172,30,Male,25,67.24890370316974,1701.282203395588,Month-to-month,Fiber optic,0
CUST-0173,39,Female,38,83.83260672694124,3210.6209106800648,Month-to-month,DSL,0
CUST-0174,44,Female,2,31.24378970142937,15.0,Month-to-month,Fiber optic,1
CUST-0175,43,Female,7,102.37834363793529,774.1193918787328,One year,No,1
CUST-0176,49,Male,34,70.34076061071275,2376.5406597961655,Month-to-month,DSL,0
CUST-0177,40,Male,17,71.66451366737341,1204.5305711700767,Month-to-month,Fiber optic,1
CUST-0178,57,Male,43,54.96550606669434,2401.085560221654,One year,DSL,0
CUST-0179,36,Male,59,78.4505588699211,4665.941234538324,Month-to-month,DSL,1
CUST-0180,72,Female,51,66.19885125707764,3341.099830167655,Two year,DSL,0
CUST-0181,47,Male,54,95.22454860266164,5182.270705451013,One year,Fiber optic,1
CUST-0182,29,Male,24,28.962643798409616,667.0810435873545,Month-to-month,Fiber optic,1
CUST-0183,27,Female,25,69.3886457472627,1825.6947960165003,One year,DSL,0
CUST-0184,45,Male,71,75.21280870943565,5298.699719306644,Month-to-month,No,1
CUST-0185,37,Female,52,60.34069014092271,3149.689760413276,One year,Fiber optic,0
CUST-0186,48,Female,70,54.883354417323844,3802.7339273672887,Month-to-month,No,0
CUST-0187,45,Male,33,55.926068025782314,1956.69502630757,Two year,Fiber optic,0
CUST-0188,39,Female,49,69.3659817341957,3337.0420577712334,Month-to-month,Fiber optic,1
CUST-0189,29,Female,29,19.751027475482353,598.9979341516338,One year,DSL,0
CUST-0190,21,Female,63,89.12537402658074,5578.1530429506965,One year,DSL,0
CUST-0191,34,Male,22,52.99670330760373,1148.2220906948828,Month-to-month,No,0
CUST-0192,50,Female,26,68.19506743416957,1795.7486449756677,Month-to-month,DSL,0
CUST-0193,42,Female,28,74.17755666970169,2138.2008086329542,One year,No,0
CUST-0194,25,Male,49,51.85486531717608,2622.0582286565805,Two year,Fiber optic,0
CUST-0195,42,Male,71,61.7240398250251,4305.559429575466,Month-to-month,DSL,1
CUST-0196,44,,49,15.0,748.3875612182231,One year,DSL,0
CUST-0197,29,Female,20,83.3030901833268,1739.036483835712,Two year,DSL,1
CUST-0198,41,Male,63,92.00172500805411,5711.843128569311,Two year,No,0
CUST-0199,40,Female,61,22.475161201531158,1386.704007996143,Month-to-month,Fiber optic,1
CUST-0200,26,Male,49,54.837678082593456,2686.9420361760704,One year,DSL,1
CUST-0201,44,Male,71,34.25326554397964,2452.708944341544,Month-to-month,DSL,1
CUST-0202,46,Male,1,60.55649196281485,21.941290696491087,Two year,DSL,0
CUST-0203,52,Male,13,81.21590836802403,984.0258673736404,Month-to-month,Fiber optic,1
CUST-0204,52,Male,51,89.68272248141562,,Month-to-month,DSL,1
CUST-0205,23,Male,56,93.04632973567121,5259.413662870693,One year,No,1
CUST-0206,28,Female,62,97.76359561730533,6116.545385097098,Month-to-month,DSL,0
CUST-0207,46,Male,32,59.43968053861086,1917.2040446853468,Two year,DSL,1
CUST-0208,46,Male,30,36.32603428166402,1063.0736109655156,Two year,Fiber optic,0
CUST-0209,46,Female,29,62.13524249230078,1720.7697376034355,One year,Fiber optic,0
CUST-0210,85,Male,49,80.8316875575894,3988.919963447132,Month-to-month,No,1
CUST-0211,46,Female,45,34.318505476978565,1489.2937823222012,One year,Fiber optic,1
CUST-0212,53,Male,30,106.50342383620605,3159.5377838481545,Month-to-month,DSL,0
CUST-0213,51,Male,16,87.44721346900855,1369.8272115260008,Month-to-month,Fiber optic,0
CUST-0214,47,Male,40,59.835820789216775,2383.556070283823,Two year,DSL,0
CUST-0215,36,Male,19,47.22820173971897,859.3838106942279,Month-to-month,DSL,0
CUST-0216,49,Male,18,48.271972972183924,870.5684520489257,Month-to-month,No,1
CUST-0217,30,Male,1,66.85515534500388,35.76424031968432,Two year,Fiber optic,1
CUST-0218,37,Male,47,59.264934931741195,2820.5205950337977,Month-to-month,No,1
CUST-0219,34,Male,66,88.76256888206562,5909.8826919157345,Month-to-month,Fiber optic,0
CUST-0220,40,Male,38,56.42560429243427,2149.600096913924,Two year,Fiber optic,0
CUST-0221,67,Male,51,77.63754526528727,3982.646125298706,Month-to-month,DSL,0
CUST-0222,18,Male,63,64.27687789562825,4155.336104905874,One year,DSL,0
CUST-0223,48,Female,4,71.74173393492677,228.33677289664126,Two year,No,0
CUST-0224,20,Female,1,59.248589110090435,15.0,Two year,DSL,1
CUST-0225,34,Male,8,82.69288853124051,696.2930032887679,One year,No,1
CUST-0226,53,Female,29,83.06350200725193,2506.168700086044,Month-to-month,Fiber optic,1
CUST-0227,40,Female,55,76.4982256455536,4194.377482408511,Month-to-month,DSL,0
CUST-0228,27,Male,3,80.18785817873761,,Two year,Fiber optic,1
CUST-0229,31,Female,32,41.39078056142368,1329.3266639052324,Two year,Fiber optic,1
CUST-0230,48,Female,10,73.08114407272448,696.7670766252908,One year,DSL,1
CUST-0231,31,Male,34,96.23004418718834,3222.2868829325184,Month-to-month,No,0
CUST-0232,42,Male,55,77.28511417548744,4282.151958896148,Month-to-month,Fiber optic,0
CUST-0233,40,Female,32,39.23206242996192,1209.6780443696466,Month-to-month,DSL,1
CUST-0234,32,Female,50,63.75583725877288,3191.8557050769955,One year,Fiber optic,0
CUST-0235,65,Male,7,74.37444845849272,599.7943904786538,Month-to-month,No,1
CUST-0236,47,Male,8,46.06501207754228,353.1810769767697,Two year,DSL,0
CUST-0237,18,Male,65,31.043220081916182,2083.509779056747,One year,No,0
CUST-0238,42,Female,57,57.097553289086825,3193.8333629916287,Month-to-month,DSL,1
CUST-0239,32,Female,67,46.47918980080744,3087.4102615882584,One year,Fiber optic,1
CUST-0240,50,Male,59,64.64277421525078,3743.5664773890503,Month-to-month,Fiber optic,0
CUST-0241,30,Male,54,25.214883812592788,1365.2535636786786,One year,DSL,0
CUST-0242,38,Female,67,79.1175265634039,5339.87818873389,One year,DSL,0
CUST-0243,46,Male,51,49.13487411766608,2509.637934381279,Two year,Fiber optic,0
CUST-0244,50,Male,8,89.8938059170339,780.5029503347788,Two year,Fiber optic,1
CUST-0245,25,Female,34,58.07752900509055,1937.177024141622,Month-to-month,Fiber optic,1
CUST-0246,35,Female,35,64.36527384038781,2264.051722098027,Month-to-month,DSL,1
CUST-0247,34,Female,32,60.67412803257705,1915.198630861773,One year,No,0
CUST-0248,32,Female,46,47.796007747493185,2216.7001856558695,Month-to-month,Fiber optic,0
CUST-0249,61,Male,16,120.0,1945.1868023106213,Month-to-month,No,0
CUST-0250,44,Male,68,52.60334554981788,3606.1472953868188,Month-to-month,DSL,1
CUST-0251,24,Female,37,90.5880380616415,3298.227691368955,One year,Fiber optic,1
CUST-0252,51,Male,54,37.659276348415126,1989.1136177250885,Month-to-month,Fiber optic,0
CUST-0253,65,Male,14,74.30328477732903,1005.0316014730469,One year,DSL,0
CUST-0254,52,Male,55,76.97180409829589,4221.505188012944,Two year,Fiber optic,0
CUST-0255,21,Male,48,64.39557557254676,3095.346947692566,Month-to-month,DSL,0
CUST-0256,34,Male,7,50.72488200901067,390.4786301559085,Month-to-month,Fiber optic,1
CUST-0257,55,Male,7,58.4169524346509,366.5137320755947,Month-to-month,Fiber optic,1
CUST-0258,31,Male,33,54.917762450671994,1732.2351959870882,Two year,DSL,0
CUST-0259,45,Male,23,120.0,2867.7871581603395,Month-to-month,Fiber optic,0
CUST-0260,49,Female,19,64.43492276387951,1167.6908814810893,Month-to-month,Fiber optic,1
CUST-0261,28,Female,19,78.12221946659876,1526.1383560151542,Month-to-month,DSL,1
CUST-0262,39,Female,36,109.54062726063418,3945.0259252452643,One year,No,1
CUST-0263,18,Female,29,43.09203330064547,1262.2342477590375,Month-to-month,No,0
CUST-0264,27,Female,60,65.94150582919845,3956.4128244601116,One year,Fiber optic,0
CUST-0265,36,Male,2,58.270346707965274,97.29859931857428,Two year,DSL,1
CUST-0266,25,Female,1,62.8465388629159,86.04515300908885,Month-to-month,Fiber optic,1
CUST-0267,59,Female,47,60.52470082206286,2822.7315783240897,Two year,Fiber optic,1
CUST-0268,22,Female,69,46.70307285924457,3280.8271646497146,Month-to-month,DSL,0
CUST-0269,34,Male,20,69.88525712491582,1426.1271928111241,Two year,Fiber optic,0
CUST-0270,41,Male,11,38.43418056459746,452.75569187464674,One year,Fiber optic,0
CUST-0271,57,Male,2,89.72206843272545,154.0879838626214,Two year,Fiber optic,1
CUST-0272,22,Male,67,80.5827451663651,5387.226189292011,Month-to-month,Fiber optic,1
CUST-0273,53,Female,12,52.663429590899604,572.565514658692,Month-to-month,Fiber optic,1
CUST-0274,40,Female,20,53.875416965653514,1059.8575364767921,Month-to-month,No,1
CUST-0275,28,Male,5,71.88776405870632,307.6100244757168,Month-to-month,DSL,1
CUST-0276,45,,37,45.03636710984544,1731.999008843717,Month-to-month,Fiber optic,1
CUST-0277,42,Female,38,110.29950310337179,4193.907908707829,Month-to-month,No,1
CUST-0278,32,Male,9,73.94814321729422,674.0581507076696,Month-to-month,Fiber optic,1
CUST-0279,40,Male,53,74.83157878459194,3954.8163492158715,Month-to-month,Fiber optic,0
CUST-0280,35,Male,44,82.03612700893214,,Two year,Fiber optic,1
CUST-0281,41,Male,24,50.51341814824824,1335.565917350842,Month-to-month,Fiber optic,1
CUST-0282,47,Male,30,92.22524954461934,2751.7504721189557,Month-to-month,No,0
CUST-0283,59,Male,59,67.8633341553866,3971.41606343231,Month-to-month,Fiber optic,1
CUST-0284,25,Male,14,88.7536367749708,1269.0355714948632,Month-to-month,No,0
CUST-0285,65,Male,9,60.051171835791735,414.1746148420012,Two year,DSL,1
CUST-0286,18,Female,40,97.93195566827964,3920.4760660767324,Month-to-month,DSL,1
CUST-0287,38,Male,66,75.03359067561975,4933.631339426259,One year,Fiber optic,1
CUST-0288,47,Female,25,119.56267560442717,2939.4512268088747,Two year,DSL,1
CUST-0289,43,Male,22,55.76195957944425,1252.1509942633484,Two year,DSL,0
CUST-0290,32,,4,70.11373490226863,283.1543605313642,One year,DSL,1
CUST-0291,37,Male,26,39.21059382824605,929.3549941596864,Two year,DSL,0
CUST-0292,34,Male,58,51.7675440613445,2970.1910794983596,Two year,DSL,0
CUST-0293,32,,29,80.46716369619764,2189.1341869300954,One year,No,1
CUST-0294,50,Female,37,93.23311093848751,3464.288570430713,One year,DSL,1
CUST-0295,44,Female,70,120.0,8414.164970922007,One year,Fiber optic,1
CUST-0296,31,Male,18,62.584277334419475,1086.852897327867,One year,Fiber optic,0
CUST-0297,50,Male,42,41.66966480886006,,One year,No,0
CUST-0298,43,Female,41,83.83314400943104,3373.0339733305964,Month-to-month,DSL,0
CUST-0299,49,Female,38,36.80431948746735,1350.2382892270098,Month-to-month,No,0
CUST-0300,47,Female,34,79.1069347006684,2710.495303041854,Month-to-month,Fiber optic,1
